,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
382,Lam Luk Ka,TH,301.49,few clouds,13.9323,100.7494,Thanaplace Lamlukka Klong7
384,Puerto Escondido,MX,301.61,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
388,Qeshm,IR,299.02,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
391,Dovers,VC,300.12,clear sky,12.8833,-61.1833,Ocean Breeze
392,Tual,ID,301.94,scattered clouds,-5.6667,132.75,Grand Vilia Hotel
395,Hirara,JP,296.62,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
397,Placido De Castro,BR,296.69,overcast clouds,-10.3353,-67.1856,Hotel Carioca
403,Sao Filipe,CV,297.28,overcast clouds,14.8961,-24.4956,Hotel Xaguate
405,Sumenep,ID,301.92,overcast clouds,-7.0167,113.8667,Family Nur Hotel
408,Progreso,MX,299.88,clear sky,21.2833,-89.6667,Playa Linda Hotel
420,Mbini,GQ,298.56,light rain,1.574,9.6134,Candy Vista Mar Mbini
